"Cooperativa","Nome","Creation Date","Modified Date","Slug","Creator"
"Coopassend","Gastrogenesis","Jul 5, 2024 3:16 pm","Jul 11, 2024 1:04 pm","","(deleted thing)"
"Coopassend","Geeon","Jul 5, 2024 3:17 pm","Jul 11, 2024 1:04 pm","","(deleted thing)"
"Coopassend","MDB - M. Dias Branco","Jul 5, 2024 3:17 pm","Jul 11, 2024 1:04 pm","","(deleted thing)"
"Coopassend","Unimed","Jul 5, 2024 3:17 pm","Jul 11, 2024 1:04 pm","","(deleted thing)"
"Coopsic","CIDH","Jul 5, 2024 3:18 pm","Jul 11, 2024 1:04 pm","","(deleted thing)"
"Coopsic","COOPSIC","Jul 5, 2024 3:18 pm","Jul 11, 2024 1:05 pm","","(deleted thing)"
"Coopsic","CSM","Jul 5, 2024 3:18 pm","Jul 11, 2024 1:05 pm","","(deleted thing)"
"Coopsic","HEMOCE","Jul 5, 2024 3:18 pm","Jul 11, 2024 1:05 pm","","(deleted thing)"
"Coopsic","HGCC","Jul 5, 2024 3:19 pm","Jul 11, 2024 1:05 pm","","(deleted thing)"
"Coopsic","HGF","Jul 5, 2024 3:19 pm","Jul 11, 2024 1:05 pm","","(deleted thing)"
"Coopsic","HIAS","Jul 5, 2024 3:19 pm","Jul 11, 2024 1:05 pm","","(deleted thing)"
"Coopsic","HLD","Jul 5, 2024 3:19 pm","Jul 11, 2024 1:05 pm","","(deleted thing)"
"Coopsic","HM","Jul 5, 2024 3:20 pm","Jul 11, 2024 1:05 pm","","(deleted thing)"
"Coopsic","HMJMA","Jul 5, 2024 3:20 pm","Jul 11, 2024 1:05 pm","","(deleted thing)"
"Coopsic","HSJ","Jul 5, 2024 3:20 pm","Jul 11, 2024 1:05 pm","","(deleted thing)"
"Coopsic","HSMM","Jul 5, 2024 3:20 pm","Jul 11, 2024 1:05 pm","","(deleted thing)"
"Coopsic","IPC","Jul 5, 2024 3:20 pm","Jul 11, 2024 1:05 pm","","(deleted thing)"
"Coopsic","PC","Jul 5, 2024 3:21 pm","Jul 11, 2024 1:05 pm","","(deleted thing)"
"Coopsic","SSPDS","Jul 5, 2024 3:21 pm","Jul 11, 2024 1:05 pm","","(deleted thing)"
